Date,ConfirmedCases
4/2/2020,92381
4/3/2020,102863
4/4/2020,113704
4/5/2020,122031
4/6/2020,130689
4/7/2020,138863
4/8/2020,149316
4/9/2020,159937
4/10/2020,170512
4/11/2020,180458
4/12/2020,188694
4/13/2020,195031
4/14/2020,202208
4/15/2020,213779
4/16/2020,222284
4/17/2020,229642
4/18/2020,236732
4/19/2020,242786
4/20/2020,247512
4/21/2020,251690
4/22/2020,257216
4/23/2020,263460
4/24/2020,271590
4/25/2020,282143
4/26/2020,288045
4/27/2020,291996
4/28/2020,295106
4/29/2020,299691
4/30/2020,304372
5/1/2020,308314
5/2/2020,312977
5/3/2020,316415
5/4/2020,318953
