Date,Year_Over_Year
2020-02-18,0
2020-02-19,4
2020-02-20,0
2020-02-21,-1
2020-02-22,2
2020-02-23,6
2020-02-24,2
2020-02-25,2
2020-02-26,-1
2020-02-27,-1
2020-02-28,1
2020-02-29,3
2020-03-01,2
2020-03-02,-7
2020-03-03,-9
2020-03-04,-5
2020-03-05,-5
2020-03-06,-6
2020-03-07,-3
2020-03-08,-2
2020-03-09,-14
2020-03-10,-18
2020-03-11,-19
2020-03-12,-28
2020-03-13,-36
2020-03-14,-42
2020-03-15,-48
2020-03-16,-56
2020-03-17,-84
2020-03-18,-91
2020-03-19,-98
2020-03-20,-99
2020-03-21,-100
2020-03-22,-100
2020-03-23,-100
2020-03-24,-100
2020-03-25,-100
2020-03-26,-100
2020-03-27,-100
2020-03-28,-100
2020-03-29,-100
2020-03-30,-100
2020-03-31,-100
2020-04-01,-100
2020-04-02,-100
2020-04-03,-100
2020-04-04,-100
2020-04-05,-100
2020-04-06,-100
2020-04-07,-100
2020-04-08,-100
2020-04-09,-100
2020-04-10,-100
2020-04-11,-100
2020-04-12,-100
2020-04-13,-100
2020-04-14,-100
2020-04-15,-100
2020-04-16,-100
2020-04-17,-100
2020-04-18,-100
2020-04-19,-100
2020-04-20,-100
2020-04-21,-100
2020-04-22,-100
2020-04-23,-100
2020-04-24,-100
2020-04-25,-100
2020-04-26,-100
2020-04-27,-100
2020-04-28,-100
2020-04-29,-100
2020-04-30,-100
2020-05-01,-99
2020-05-02,-99
2020-05-03,-99
